start:	Thu May 04 23:57:06 2017

location4:not found index:http://stuex.nju.edu.cn/a/lhlx/ndjj	改革开放以来，南京大学在崭新的历史机遇中焕发出蓬勃的生机和活力，首批进入国家“211工程”、“985工程”建设序列。作为中国九所著名大学联盟（C9）的成员之一，南京大学师资力量雄厚、学科布局完善、科研水平突出，办学事业保持着良好的发展态势，获得了公认的社会影响和学术声誉。面向未来，南京大学以培育英才、追求真理、服务社会、传承创新文化为使命，致力于建设综合性、研究型、国际化的世界一流大学，努力为实现中华民族伟大复兴的中国梦与人类文明进步做出新的更大的贡献。
location4:not found index:http://stuex.nju.edu.cn/a/lhlx/ndjj	Since China opened its door to the outside world, NJU has been full of vitality in meeting unprecedented historical challenges and opportunities. It was among the first top universities to be selected for prioritized support by the Central Government of China under “211 Project” and “985 Project”. As a member of the C9 League (an alliance of nine elite universities in China), NJU is known for its outstanding faculty, coordinated disciplines, and excellent research, and is recognized as a leading university with academic strength and social prestige. NJU’s mission is to cultivate talents, seek truth, serve society, and inherit and transmit Chinese culture. Its aim is to become a world-class research university, and to make contributions to the Chinese nation and the international community.
location4:not found index:http://stuex.nju.edu.cn/a/lhlx/ndjj	“千人计划”创新人才29人、创业人才14人 29 “Global Experts Program” Innovation Scholars and 14 “Global Experts Program” Entrepreneur Talents
location4:not found index:http://stuex.nju.edu.cn/a/lhlx/ndjj	“青年千人计划”入选者45人 45 “Global Young Experts Program” Scholars
location4:not found index:http://stuex.nju.edu.cn/a/lhlx/ndjj	“973计划”和重大科学研究计划项目首席科学家36人次 36 Chief Professors of “973 Project” and key research projects
location4:not found index:http://stuex.nju.edu.cn/a/lhlx/ndjj	教育部“长江学者奖励计划”特聘教授、讲座教授115人 115 Special or Lecture Professors of “Cheung Kong Scholars Program”
location4:not found index:http://stuex.nju.edu.cn/a/lhlx/ndjj	教育部“新世纪优秀人才支持计划”入选者238人 238 in MOE “New Century Outstanding Personnel Support Program”
location4:not found index:http://stuex.nju.edu.cn/a/lhlx/ndjj	Research Center for China’s New Literature
location4:not found index:http://stuex.nju.edu.cn/a/cglx	这里须特别提到的是，网页中，世界地图页的“合作院校留学说明”将为同学们提供海外各所院校的相关材料，包括fact sheet（留学指南）、网站信息、以及申请网页。
